SampleID	Act_Actinobaculum.	Act_Actinomyces.	Aer_Abiotrophia.	Bac_unclassified_Bacteroidaceae.	Bur_Lautropia.	Cam_Campylobacter.	Car_Cardiobacterium.	Car_Granulicatella.	Clo_Parvimonas.	Com_unclassified_Comamonadaceae.	Cor_Corynebacterium.	Eub_Eubacterium.	Fla_Bergeyella.	Fla_Capnocytophaga.	Fus_Fusobacterium.	Fus_Leptotrichia.	Lac_Catonella.	Lac_Uncultured_Lachnospiraceae.	Mic_Rothia.	Mor_Acinetobacter.	Mor_Moraxella.	Nei_Eikenella.	Nei_Kingella.	Nei_Neisseria.	Pas_Aggregatibacter.	Pas_Haemophilus.	Pep_Filifactor.	Pep_Peptococcus.	Pep_Peptostreptococcus.	Por_Porphyromonas.	Por_Tannerella.	Pre_Prevotella.	Pro_Propionibacterium.	Spi_Treponema.	SR1_SR1.	Sta_Gemella.	Str_Streptococcus.	Syn_Synergistes.	TM7_TM7.	Vei_Dialister.	Vei_Megasphaera.	Vei_Selenomonas.	Vei_Veillonella.	Vei_Veillonellaceae.
H3003_0	0.000382885	0.0206571	0	0.00277358	0.0928729	0.00365608	0.00381017	0.00728415	0.000644367	0.000196112	0.00242338	0.00190508	0.00341795	0.322482	0.0161489	0.0156049	0.00109262	0.000924526	0.127108	0	0	0.00154088	0.00585533	0.0364081	0.000905849	0.175343	0.000994566	7.00E-05	0.00014008	0.0115286	0.00112064	0.019331	0.00344596	0.01412	0	0.000560319	0.0878464	0.00103659	0.00114865	2.80E-05	0	0.000693395	0.0103939	0.00014008
H3003_1	7.31E-05	0.00700565	0	0.000701296	0.0908836	0.00293668	0.00135876	0.0118344	0.000175324	0.000569803	0.0021258	0.000657465	0.00222442	0.481897	0.0194215	0.0302653	0.000569803	0.00131493	0.0372563	0	0	0.000810873	0.0111988	0.0275905	0.00230843	0.165152	0.000153408	5.48E-05	6.57E-05	0.0128808	0.000405437	0.0208307	0.00113961	0.00126014	0.000153408	0.000489446	0.0494976	0.000197239	8.77E-05	0	0	0.000432831	0.0133246	0
H3003_14	0.000115982	0.0145738	6.52E-05	0.0145267	0.020942	0.0255196	0.009612	0.00258785	0.000674145	0.0106123	0.00939453	0.00315326	0.00209855	0.17458	0.0566517	0.20357	0.00406661	0.00917707	0.00274007	0	0	0.0019137	0.00537141	0.0232645	0.00854279	0.00606368	0.000630651	0.000782878	0.00137004	0.0688932	0.00532792	0.187807	0.00691542	0.0109385	0.00134829	0.0015875	0.035991	0.00128305	0.0317065	0.000289955	6.52E-05	0.00844855	0.0192675	0.000152226
H3003_21b	0.000209918	0.00212017	0	0.0602297	0.00853947	0.0193209	0.00236788	0.0015366	0.000906846	0.0106554	0.00311099	0.00833795	0.00285909	0.161036	0.0894377	0.13308	0.00125951	0.0153408	0.000831276	0	0	0.00186407	0.00398005	0.0101113	0.00845131	0.0185442	0.00403043	0.0023175	0.00133508	0.105012	0.01126	0.157863	0.00370296	0.042987	0.00785934	0.00229231	0.0168657	0.00450904	0.0450149	0.000403043	0.000528994	0.00960376	0.000780896	0.00130989
H3003_28	0.00021233	0.0057574	0	0.00671289	0.0113188	0.0433969	0.00849319	0.00470392	8.17E-05	0.0129848	0.0130828	0.00104532	0.00365044	0.209767	0.0623139	0.225331	0.00423026	0.00857486	0.00473659	0	0	0.00184564	0.0200243	0.0304367	0.0140002	0.0409225	6.53E-05	0.000808486	0.00037566	0.0438216	0.00325028	0.1232	0.00253162	0.00477742	0.00289095	0.0045297	0.0467161	0.000146998	0.0130991	0	0	0.011768	0.00596157	0.000163331
H3003_3	3.78E-05	0.00161833	0	0.00306035	0.121375	0.00646075	0.00100123	0.00938886	0.000573029	0.00821762	0.00142628	0.00160574	0.00110513	0.550554	0.0320802	0.0674978	0.00234249	0.00309814	0.00625294	0	0	0.00158685	0.0233683	0.0225437	0.00234249	0.0149397	0.000623405	9.45E-05	0.000340039	0.0349863	0.000642296	0.0402663	0.000868989	0.00345707	0.00447718	0.000396712	0.02	0.000566732	0.000642296	6.93E-05	0	0.000462831	0.00797203	0
H3003_7	0.000139823	0.00823141	0.000233038	0.0107042	0.0251836	0.0174623	0.00518897	0.00630755	0.000771613	0.00480057	0.00485495	0.00632309	0.00097099	0.203008	0.0951407	0.173209	0.00640077	0.00923088	0.00177109	0	0	0.00380628	0.00254788	0.0092314	0.00481611	0.0013076	0.000675809	0.000435004	0.00167787	0.0955377	0.0026644	0.181695	0.00184877	0.00793105	0.00282752	0.00288449	0.031385	0.000450539	0.00650952	0.00015018	0	0.00510741	0.0495283	0.00018643
H3007_0	0.0014524	0.0178253	0.0027266	0.0198881	0.0428771	0.0270254	0.00513242	0.00657591	0.00243255	0.00120291	0.00999752	0.0109598	0.00276669	0.14014	0.100062	0.135555	0.00459779	0.012938	0.00422355	0	0.00139003	0.00379585	0.000641552	0.0377914	0.00949853	0.0200039	0.00467798	0.00209841	0.00310083	0.0797195	0.0133256	0.127975	0.0080194	0.0189258	0.00392951	0.00687886	0.0321676	0.00625513	0.0133657	0.000427701	5.35E-05	0.0123967	0.0262502	0.00040097
H3007_1	0.000528201	0.00969574	0.00698962	0.0104627	0.0169748	0.0097681	0.00842227	0.00855251	0.000832097	0.000455845	0.00778192	0.00876958	0.00372273	0.200179	0.0975479	0.11967	0.00180167	0.00733693	0.00642524	0	0.0333201	0.00334286	0.0028436	0.0446142	0.0252523	0.0433125	0.00133497	0.000879129	0.00208386	0.112778	0.00526392	0.0714786	0.0047321	0.0124923	0.00549184	0.00880576	0.0531464	0.00316921	0.00453674	6.51E-05	0	0.00231178	0.0216418	8.68E-05
H3007_14	0.000125465	0.00666756	0.00123673	0.0295201	0.00155935	0.0183896	0.00150558	0.00161312	0.00179236	0.000483936	0.0127705	0.00887216	0.00080656	0.0399301	0.108051	0.279715	0.00231214	0.00682887	0.000537707	0	0.000699019	0.00107541	0.000591477	0.00856298	0.00871085	0.00164897	0.000752789	0.0135502	0.00387149	0.050652	0.0150289	0.201334	0.00268853	0.0177981	0.0172066	0.00326209	0.0144571	0.00155935	0.0761393	0.000466012	0	0.0119371	0.0115607	0.000322624
H3007_21b	0.00101101	0.00392713	0.000185696	0.0431022	0.0031362	0.015258	0.00253785	0.00117608	0.00110042	0.00486937	0.00496222	0.0257086	0.00102133	0.0621515	0.057765	0.143461	0.00259975	0.0170634	0.000247595	0	0.000103165	0.00115544	0.0015681	0.00738556	0.0024622	0.00128268	0.00454956	0.00883089	0.00462177	0.0923272	0.0226962	0.214773	0.00373456	0.0531091	0.0102752	0.00160937	0.0116139	0.00720089	0.0839554	0.000392026	0.000123798	0.0112553	0.00728342	0.00348696
H3007_28	0.00024268	0.00443794	0.00158	0.0255898	0.00187431	0.0183559	0.00113078	0.0022151	0.00123405	0.00219961	0.005135	0.00690863	0.00114627	0.0786654	0.121827	0.180693	0.00435274	0.00525118	4.65E-05	0	0.00611863	0.0014251	0.00213765	0.0112831	0.00493104	0.00235451	0.000518922	0.0215701	0.0033149	0.0590719	0.00755921	0.226155	0.00145608	0.0210434	0.0226776	0.0026798	0.0178839	0.0014251	0.0514429	0.000898431	6.20E-05	0.0254736	0.0247533	0.000542157
H3007_3	0.000542907	0.0048741	0.00736543	0.0154005	0.0100619	0.0133012	0.00314886	0.0052481	0.00127281	0.000180969	0.00992614	0.00763689	0.00393607	0.139192	0.138248	0.179937	0.00244308	0.0115458	0.000796263	0	0.0370624	0.00253356	0.00559194	0.0199934	0.0125713	0.0184618	0.0005791	0.0026331	0.00300408	0.119706	0.00839696	0.10232	0.00454232	0.00575481	0.0166129	0.00923545	0.0262918	0.000904844	0.011401	0.000144775	0	0.00355151	0.0250099	0.000271453
H3007_7	0.000222244	0.00569848	0.00483381	0.0212938	0.00685484	0.0113657	0.00145848	0.00339617	0.0013543	0.000354202	0.00876128	0.0129388	0.00194811	0.0813268	0.15008	0.168121	0.00502133	0.00885504	0.000333366	0	0.0498174	0.00172934	0.00233356	0.0112074	0.00883768	0.00411152	0.00119803	0.00743823	0.0024169	0.0643657	0.00769868	0.178619	0.00181268	0.0145223	0.0298363	0.00467407	0.0297307	0.00150015	0.0434209	0.000368092	4.17E-05	0.00677671	0.0188144	0.000187518
H3008_0	0.00122503	0.0708606	0.000794112	0.00103419	0.0138508	0.0241004	0.00664838	0.00282556	3.08E-05	0	0.00699926	0.00132968	0.00271475	0.212743	0.078991	0.0607218	0.000941853	0.00428451	0.0024008	0	0	0.0028625	0.0215334	0.0156172	0.00506939	0.057727	1.85E-05	0.000110806	0.000350887	0.0294883	0.00285326	0.132053	0.00144048	0.00134814	0.00153282	0.00112653	0.0503027	0.000184677	0.00376741	1.85E-05	0	0.00757638	0.167631	0.000517096
H3008_1	0.000349416	0.0269497	0.00438801	0.00102387	0.00670391	0.0154312	0.00394921	0.00397359	4.06E-05	0	0.0101534	0.00158456	0.00357135	0.209144	0.0814675	0.0676485	0.000511935	0.0040711	0.00207212	0	0	0.0029741	0.00733773	0.0840792	0.00590756	0.0678151	0	0.000170645	0.000682579	0.093617	0.00201117	0.143939	0.00173083	0.00101168	0.00772777	0.00182021	0.0356506	0	0.00409548	0	4.88E-05	0.00475977	0.0884428	0.000268156
H3008_14	0.00073199	0.0367571	0.000304551	0.0018273	0.000480869	0.0245243	0.00139452	0.000993797	6.41E-05	0.000144261	0.0124144	0.00142658	0.000288522	0.0377683	0.0153491	0.551653	0.00112203	0.00657188	0.00016029	0	0	0.000448811	0.000993797	0.00178483	0.00238297	0.000585058	1.60E-05	0.00314168	0.000897623	0.0148709	0.00509722	0.161382	0.00094571	0.00211583	0.000480869	0.0005717	0.0215336	0.000192348	0.0289964	6.41E-05	0.00078542	0.0178362	0.032074	0.000977768
H3008_21b	0.00088855	0.0114031	0.000666413	0.00944085	0.000703436	0.0184189	0.0030729	0.00164752	0.000290013	0.00155496	0.00473894	0.00336909	0.000990364	0.0462518	0.0508467	0.267657	0.00236947	0.00890402	0.000166603	0	0.000536833	0.000721947	0.00181412	0.00636239	0.00433168	0.00113228	9.26E-05	0.00480373	0.00298035	0.0545949	0.00528502	0.276795	0.00211031	0.00715468	0.00298035	0.00259161	0.0313637	0.00122176	0.0909839	0.00025299	0.000425764	0.0167853	0.0367638	0.00207328
H3008_28	0.000453538	0.0185205	7.77E-05	0.00575345	0.000233248	0.0243744	0.00293504	0.000505371	0.000174936	0.000369309	0.00851355	0.00242967	0.000476215	0.0393888	0.0260962	0.507237	0.00120511	0.0132368	9.72E-05	0	0	0.000544245	0.0013023	0.00270665	0.00623938	0.000793691	8.75E-05	0.00675447	0.000894117	0.0174499	0.00730844	0.15927	0.00456777	0.00637545	0.000310997	0.000673828	0.00978476	0.00155499	0.0630547	6.48E-05	0.000330435	0.0213665	0.019243	0.00180767
H3008_3	0.000156495	0.0185782	0.00397944	0.00024592	0.00406886	0.00500783	0.000782473	0.00849543	1.49E-05	0	0.00252627	0.00055891	0.000704226	0.0676996	0.0803779	0.0324615	0.000424771	0.00389001	0.000849543	0	0	0.00102839	0.00219093	0.169617	0.00128922	0.0528356	0	5.59E-05	0.000782473	0.187777	0.000312989	0.168221	0.000424771	0.000603622	0.00156495	0.00381549	0.0750448	0	0.00169909	1.49E-05	4.47E-05	0.0012296	0.0980551	6.71E-05
H3008_7	0.000337529	0.0224082	0.00132761	0.00103509	0.00342029	0.0213543	0.00171015	0.00688558	6.00E-05	0	0.00750439	0.00189016	0.000258772	0.0487504	0.039399	0.43998	0.000720061	0.00864073	0.000382533	0	0	0.000405034	0.00227269	0.0126506	0.00111009	0.00278649	3.38E-05	0.000517544	0.000607552	0.0143506	0.00216018	0.141001	0.000877575	0.000877575	6.75E-05	0.00204767	0.0374304	0.00011251	0.0194642	2.25E-05	0.0011476	0.0116335	0.133459	0.000135011
H3012_0	9.94E-05	0.0189305	0.00867011	0.00201844	0.00706453	0.00644524	0.00229368	0.0031194	2.29E-05	0.0017432	0.0197486	0.000665167	0.00126152	0.209951	0.0175333	0.350291	0.00116978	0.0055507	0.0201844	0	0	0.00142208	0.00899122	0.038309	0.0075959	0.0341758	0	0.000229368	4.59E-05	0.0520149	0.00146795	0.0397896	0.00103216	0.000344052	0.000504609	0.00244659	0.0438268	0	0.0537638	0	4.59E-05	0.00421464	0.0309188	0.000183494
H3012_1	0.000258385	0.00972589	0.063046	0.000417392	0.00999753	0.00405466	0.00230559	0.0178087	0	0.00149068	0.00960001	0.000357764	0.00135155	0.206932	0.0121706	0.168308	0.000477019	0.0038559	0.00960001	0	0	0.000636026	0.00455156	0.0544736	0.00666502	0.153001	0	0	0	0.0357466	0.000705591	0.0303851	0.00037764	4.97E-05	9.94E-05	0.00226584	0.108957	0	0.00433292	0	3.98E-05	0.00236025	0.0723081	3.98E-05
H3012_14	2.32E-05	0.00257857	0.00693426	0.00376332	0.00658581	0.0144261	0.00306641	0.00118475	0	0.00902499	0.00641158	0.000383301	0.00125444	0.336022	0.0300293	0.363125	0.000592374	0.00616766	0.00567982	0	0	0.00163774	0.0160986	0.0379276	0.00464026	0.00258438	0	0.000226496	0	0.0473638	0.00452992	0.0289218	0.00031361	0.000174228	0.00571467	0.000592374	0.0121141	0	0.0266917	0	0	0.00350198	0.00508745	0.000104537
H3012_21b	0.000422915	0.00317186	0.0081109	0.00249218	0.0033078	0.00634372	0.00539216	0.00194843	0.000226561	0.000724997	0.0234491	0.000724997	0.000974214	0.331459	0.028731	0.364855	0.00058906	0.00720465	0.00598122	0	0	0.00172187	0.00838277	0.0231478	0.00403279	0.0126421	0	4.53E-05	9.06E-05	0.0614775	0.00317186	0.0229507	0.00117812	0.000498435	0.000498435	0.00170676	0.0353504	0	0.0152702	0	0	0.00300194	0.0058906	0.000181249
H3012_28	0.000164886	0.0028855	0.0233726	0.00272062	0.00145306	0.00714162	0.00275153	0.00160764	4.12E-05	0.00194771	0.0160918	0.00102023	0.000494657	0.252666	0.0341262	0.406454	0.00111298	0.010697	0.00661604	0	0.00531757	0.000896567	0.00451375	0.0342983	0.00671394	0.00440554	0	0.000587406	6.18E-05	0.0580063	0.00530211	0.0325624	0.00157672	0.00055649	0.0019168	0.0034523	0.0214681	0	0.0281646	0	0	0.00425096	0.00649238	0
H3012_3	0	0.00472537	0.0248923	0.000336382	0.00494962	0.00658348	0.0015858	0.00403659	0	0.00153775	0.00509379	0.000288328	0.00146567	0.414161	0.0287607	0.235131	0.000432491	0.00913037	0.0057185	0	0	0.000961092	0.00629515	0.0299092	0.00280318	0.0188694	0	0	0	0.0626752	0.000840955	0.032545	0	4.81E-05	9.61E-05	0.000672764	0.0297402	0	0.00374826	0	0	0.000552628	0.0601643	0
H3012_7	0.000120268	0.00968705	0.00698648	0.00111521	0.00180402	0.00941371	0.00150882	0.00364084	0	0.000885611	0.00577287	0.000688808	0.00108241	0.122222	0.0246276	0.594048	0.000984012	0.00747849	0.00406725	0	0	0.000426405	0.00219763	0.00925135	0.00242176	0.00122564	0	0.000278803	0	0.018073	0.00208283	0.0525954	0.000229603	9.84E-05	0.00078721	0.00115895	0.0348674	0	0.0428701	0	0.000164002	0.00401805	0.0279787	0
H3015_0	0.00103451	0.0445488	0	0.0275682	0.0698783	0.00494627	0.00880146	0.00193972	0.000800133	0.000145479	0.0111049	0.00463107	0.00347936	0.200654	0.0566506	0.0394247	0.00184273	0.00332176	0.0257012	0	4.85E-05	0.00101835	0.0161724	0.0500204	0.0112544	0.201557	0.000242464	0.000436436	0.00295807	0.0136507	0.00162451	0.0371395	0.000921365	0.00157602	0.0030793	0.00181848	0.0788603	0.000581915	0.0227917	0.000767804	0.000266711	0.00163663	0.0330479	0.000606161
H3015_1	0.000932848	0.0251836	0.000654978	0.00438637	0.0601588	0.00835594	0.00504135	0.00422759	0.000443268	0.000297717	0.0059345	0.00222296	0.00266953	0.299139	0.0390059	0.0482699	0.00162752	0.00341383	0.026735	0	0.00073437	0.000595435	0.0081773	0.0641035	0.00372478	0.160142	0.000129011	0.000218326	0.00188554	0.0321932	0.000774065	0.0426947	0.0004565	0.00107178	0.00371154	0.00210387	0.0666603	0.000198478	0.0121866	0.000654978	0.000119087	0.00151836	0.0482104	0.000555739
H3015_14	0	0.00371731	0.00109613	0.0631943	0.00667209	0.0169662	0.000857841	0.00266884	0.000111202	0.0039556	0.00276415	0.00281181	0.000500407	0.116287	0.108769	0.290427	0.00223992	0.00452749	0.000142973	0	0.0329792	0.000714867	0.000142973	0.0268671	0.0089279	0.00213666	4.77E-05	0.00386028	0.00252586	0.0239719	0.00188248	0.106932	0.000142973	0.0033837	0.00943625	0.000857841	0.00734327	0	0.110375	0.000142973	0.000142973	0.00632657	0.0186819	0
H3015_21b	0.000260937	0.00177163	0.000370806	0.0568157	0.00737492	0.0262036	0.00214243	0.00164803	0.00065921	0.0100942	0.00502648	0.00374926	0.00183343	0.159319	0.0826712	0.284779	0.00506768	0.00712771	0.000206003	0	0.00127722	0.000535608	0.00284284	0.0231074	0.00764959	0.00625563	0.000144202	0.00731311	0.000906414	0.0409122	0.00535608	0.0924048	0.000906414	0.00821953	0.0124838	0.000535608	0.00982086	0.00115362	0.086439	0.000274671	0.000123602	0.00877574	0.0135962	0.00103002
H3015_28	0	0.00194743	0.00174146	0.0512325	0.00106734	0.0249421	0.000730288	0.00252792	0.000823915	0.00252792	0.00193807	0.00359526	0.00115161	0.0644872	0.100254	0.310766	0.0044379	0.00471878	0	0	0.0497719	0.000112352	0	0.0369891	0.00739651	0.00293988	0.000252792	0.00497158	0.00241557	0.0349415	0.00221895	0.12589	0.000393232	0.00587039	0.0240433	0.000711563	0.0090771	0.000730288	0.0799384	0.000243429	0	0.00720457	0.0153922	0.00084264
H3015_3	0.000118107	0.00488076	0.00294085	0.00363178	0.0318888	0.00453529	0.00219678	0.00726356	0.000242119	0.000301172	0.00303829	0.00131098	0.00171845	0.217454	0.0663541	0.122683	0.00141728	0.00566912	0.00198419	0	0.219306	0.00017716	0.000372036	0.0310499	0.0183449	0.0267807	0.000106296	0.00206391	0.000868084	0.0778618	0.00113382	0.0617872	0.000194876	0.000823794	0.0166176	0.00172436	0.015826	0.000106296	0.0160507	4.13E-05	0	0.000832652	0.0223399	8.86E-05
H3015_7	8.08E-05	0.0157098	0.00782526	0.00821328	0.0155373	0.0162002	0.00108325	0.00827796	0.000258686	0.00281321	0.00443	0.00203715	0.000776058	0.19718	0.112343	0.161339	0.00295872	0.00646715	0.000695219	0	0.0409694	0.000937737	0.00022635	0.0484899	0.00756118	0.00434916	3.23E-05	0.00136619	0.00111558	0.0355532	0.00233626	0.095346	0.000711387	0.000970073	0.0173805	0.00183775	0.029767	0	0.0791256	0.000172457	3.23E-05	0.00373478	0.0582044	4.85E-05
H3016_0	0.000887176	0.0090172	0.000196342	0.0185871	0.0100571	0.0341635	0.00405774	0.00150529	0.00026179	0.00523579	0.0174635	0.00277061	0.00211613	0.164677	0.0646475	0.168265	0.00172345	0.00711195	0.00222521	0	0	0.00176708	0.00519216	0.0384885	0.0198415	0.0034469	0.000283605	0.00326146	0.000916264	0.0681853	0.00547577	0.129319	0.00584663	0.00558485	0.00163619	0.00146166	0.0175799	0.000894448	0.133338	0.000254518	0.000130895	0.0176108	0.0152929	0.00239974
H3016_1	0.000701197	0.0102737	0.00304902	0.00489262	0.0289303	0.0182232	0.00347447	0.014607	0.00051211	0.00302539	0.00645259	0.00224541	0.00926525	0.238548	0.0462514	0.061075	0.000945434	0.00262358	0.0120543	0	0	0.00404173	0.0186014	0.116812	0.0316208	0.0317666	0.000425445	0.000307266	0.00129997	0.0704348	0.00163087	0.0809232	0.00548352	0.00304902	0.0030963	0.00171754	0.0865738	0.000354538	0.0223831	0.000133936	4.73E-05	0.00380537	0.04089	0.000519989
H3016_14	0.000314143	0.0148933	0.00320426	0.00891025	0.0143421	0.0612066	0.00236464	0.00373545	0.000394107	0.00988695	0.00801066	0.00159356	0.00268164	0.188771	0.0666056	0.13362	0.0029301	0.00527761	0.000771079	0	0	0.00217616	0.00882458	0.0260548	0.0218872	0.00522621	0.000248459	0.00539756	0.00080535	0.0395435	0.00243318	0.162891	0.00289583	0.0058088	0.00133654	0.00126229	0.0430322	0.000376972	0.0722587	0.00037126	0.000239891	0.0154901	0.0456822	0.00109665
H3016_21b	0.00234683	0.0061733	0.00112793	0.0190839	0.043389	0.033365	0.0040933	0.00354753	0.000709505	0.0424976	0.00742252	0.0055487	0.00870509	0.156688	0.0427938	0.0908895	0.0009642	0.00500292	0.00074589	0	0	0.0089143	0.0113339	0.0799258	0.0191627	0.00244446	0.000764083	0.00704048	0.00105516	0.0520395	0.00391138	0.143733	0.017301	0.00740433	0.00149178	0.000418426	0.0421646	0.000855045	0.0879059	0.000563966	0.000163732	0.0089234	0.00716782	0.00254694
H3016_28	0.000652801	0.00907201	0.000960002	0.02016	0.00677761	0.0410497	0.00328321	0.00345601	0.000556801	0.00773761	0.00954241	0.002976	0.001584	0.148957	0.0586887	0.11977	0.0023616	0.00631681	0.000499201	0	0	0.0016128	0.00382081	0.0324269	0.0398241	0.00465985	0.000518401	0.00531841	0.0014208	0.0546721	0.0029184	0.209414	0.00551041	0.0107136	0.00374401	0.0026048	0.0324628	0.0017664	0.0853249	0.000441601	0.000307201	0.0157248	0.024576	0.002496
H3016_3	0.000151588	0.00551838	0.00766102	0.00286851	0.0279505	0.0188727	0.00204644	0.0135555	0.000244873	0.00276356	0.0049062	0.0011544	0.00201145	0.2508	0.03601	0.073007	0.00167913	0.002886	0.00760854	0	0	0.00283353	0.02412	0.0972101	0.020855	0.0258166	0.000236127	0.00114565	0.000559709	0.0635838	0.000795836	0.0709755	0.00174909	0.00214264	0.00470505	0.00116023	0.126646	0.000244873	0.0203944	0.000104945	0	0.00184529	0.0671826	0.000122436
H3016_7	0.000298923	0.00641023	0.00504183	0.00561974	0.0384813	0.0255678	0.00179353	0.00842961	0.000285637	0.003607	0.00754281	0.00221203	0.00199282	0.226204	0.0654232	0.103308	0.00239138	0.00440412	0.00280987	0	0	0.00187325	0.0135711	0.0378725	0.0173541	0.0164972	0.000298923	0.00183339	0.000697486	0.0734801	0.00185332	0.114423	0.00288958	0.00290951	0.00386606	0.00143483	0.057708	0.00021921	0.0387802	0.000112926	9.96E-05	0.00388599	0.0938617	0.000318851
H3034_0	0.00230969	0.018623	0.00345089	0.00190958	0.0512996	0.00992983	0.00744737	0.00260522	9.09E-05	0.0024279	0.0187207	0.00150039	0.00225058	0.312601	0.0275898	0.202211	0.00113211	0.00323265	0.0109665	0	5.46E-05	0.00125487	0.00679266	0.112044	0.00376688	0.0438113	6.82E-05	0.000709274	0.000272798	0.0183456	0.000954791	0.0273377	0.00893412	0.00154813	0.00338269	0.000277344	0.0476359	0.000122759	0.011553	0	0	0.00842603	0.0190685	5.46E-05
H3034_1	0.00052809	0.003454	0.00316854	0.00184118	0.0366095	0.0116465	0.00265472	0.00171273	0.000271182	0.00154145	0.00663681	0.00162709	0.00389645	0.437443	0.0777321	0.135048	0.00119891	0.002826	0.00201245	0	0.0049669	0.00102764	0.00603736	0.0565349	0.00800699	0.0400064	0	0.000877772	0.000513818	0.0544219	0.000834954	0.0266329	0.00274036	0.000792136	0.0126314	0.000314	0.0195158	8.56E-05	0.0179408	0	0	0.00361813	0.00856363	0.000128454
H3034_14	0.000200478	0.00539381	0.00581386	0.0119714	0.0210788	0.0147781	0.00429596	0.000887831	0.000181385	0.0175275	0.0146922	0.00277805	0.00236278	0.251992	0.0633386	0.237767	0.0022339	0.00426732	0.000801912	0	0.0107685	0.000859191	0.000630073	0.0350421	0.00788069	0.00617186	0.000157518	0.0115561	0.000773272	0.0630933	0.00252029	0.0746852	0.00274941	0.00618618	0.0132602	0.000458235	0.0164893	0.000200478	0.0646971	4.77E-05	0	0.00912175	0.00489739	0.000114559
H3034_21b	0.00119151	0.0027086	0	0.0230266	0.00910257	0.0284299	0.0120121	8.31E-05	0.000429497	0.0357037	0.00881162	0.00502927	0.00363687	0.176889	0.0412102	0.319047	0.00328357	0.00835441	0.00195352	0	0	0.0022029	0.00178726	0.0195705	0.00334592	0.00157251	0.000727374	0.00266011	0.00166257	0.0224862	0.00565273	0.114942	0.00436424	0.0133629	0.001621	0.000512625	0.013773	0.00872849	0.0706176	0.000138547	0	0.0140279	0.000706592	0.000540335
H3034_28	0.000149542	0.00296723	0.00842946	0.00925588	0.0106844	0.019409	0.00363624	0.00226675	7.08E-05	0.0162096	0.0073197	0.00399042	0.0137244	0.261041	0.0301894	0.0891351	0.00342373	0.00436821	0.000826418	0	0.00185354	0.00174728	0.00201882	0.105773	0.0405653	0.0416456	0.000182993	0.0117824	0.000519463	0.0831642	0.000903157	0.0851535	0.00109796	0.00772111	0.0248988	0.000791	0.0132831	0.000342373	0.0704108	5.90E-05	2.36E-05	0.00947134	0.00184173	0.000802806
H3046_0	0.00119828	0.0107817	0.000362941	0.0104734	0.00551325	0.0159176	0.00637739	0.000795014	0.000748926	6.91E-05	0.0287847	0.00300723	0.00277391	0.175988	0.101958	0.246316	0.00134807	0.00935005	0.0170409	0	0	0.00444171	0.000846863	0.0374944	0.00488242	0.0281769	8.64E-05	0.00255787	0.00101969	0.0272854	0.0146732	0.106063	0.0019184	0.00540091	0.0042516	0.00124437	0.0362823	0.000328375	0.0482884	0.000115219	3.46E-05	0.00959201	0.0172138	0.00136535
H3046_1	0.000498851	0.00550679	0.0194163	0.00258495	0.00526709	0.00581129	0.00141881	0.010748	0.00105601	0.000194357	0.00297367	0.00361505	0.00401348	0.228712	0.115324	0.0711737	0.00110784	0.00532539	0.0406401	0	0	0.00235172	0.000330408	0.205545	0.00214765	0.0841989	0.00018464	0.00104953	0.000971787	0.0261945	0.00174922	0.0424613	0.00091348	0.00319718	0.00394546	0.00590846	0.062378	0.000660815	0.00501442	5.18E-05	0	0.000850314	0.0214959	5.83E-05
H3046_14	0.000317044	0.0113017	0.00542704	0.00609843	0.00318909	0.0283661	0.00257365	0.000559489	0.00216336	0.0075531	0.00553894	0.00565084	0.000783285	0.237839	0.109515	0.219655	0.00207011	0.0077769	0.00285339	0	0	0.00397237	0.000839234	0.0120682	0.00566016	0.00262027	0.000167847	0.00327301	0.000559489	0.0479342	0.00391642	0.0846619	0.00201416	0.00640615	0.00654602	0.00138007	0.0149598	0.000951131	0.105128	0.000111898	0	0.00727336	0.0124766	0.00100708
H3046_21b	0.00160889	0.00462872	0.000624268	0.0345479	0.0053748	0.030947	0.00505505	0.000624268	0.00136527	0.0168096	0.00931835	0.0116632	0.000586203	0.104622	0.0651287	0.099685	0.00242094	0.00925745	0.000304521	0	0	0.00284727	0.00135512	0.036018	0.00730851	0.00238592	0.00142364	0.00311373	0.00193371	0.0697506	0.0188955	0.223919	0.00133989	0.0271405	0.00624269	0.00132974	0.0139889	0.0106126	0.105273	0.000492309	9.14E-05	0.0214193	0.00857227	0.0046135
H3046_28	0.00206508	0.0104072	0.00263176	0.00990587	0.00341638	0.0172944	0.0059991	0.000882701	0.00121508	0.00160194	0.0101102	0.00591737	0.00139761	0.130171	0.072631	0.276416	0.00307311	0.0107395	0.00127501	0	0	0.0026481	0.00137309	0.00831292	0.0134884	0.00344144	0.000286061	0.0122924	0.0010952	0.039084	0.0113117	0.143154	0.00348177	0.00746209	0.00545967	0.00217406	0.0215273	0.00189617	0.103292	0.000468594	0.000147117	0.023224	0.00820585	0.00189617
